DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
980639,4,980642,0.09,-0.31,9.45,0.02,-0.02,-0.00,0
980652,4,980655,0.10,-0.28,9.44,0.02,-0.02,-0.00,0
980665,4,980668,0.08,-0.27,9.43,0.02,-0.02,-0.00,0
980678,4,980681,0.06,-0.26,9.44,0.02,-0.02,-0.00,0
980691,4,980694,0.07,-0.24,9.45,0.02,-0.02,-0.00,0
980704,4,980707,0.11,-0.29,9.42,0.02,-0.02,-0.00,0
980717,4,980720,0.12,-0.29,9.45,0.02,-0.02,-0.00,0
980730,4,980733,0.14,-0.29,9.43,0.02,-0.02,-0.00,0
980743,4,980746,0.15,-0.30,9.47,0.02,-0.02,-0.00,0
980756,4,980759,0.10,-0.30,9.42,0.02,-0.02,-0.00,0
980769,4,980772,0.10,-0.27,9.45,0.02,-0.02,-0.00,0
980781,0,981781,0.11,-0.28,9.43,0.02,-0.02,-0.00,0
981792,3,981795,0.10,-0.27,9.44,0.02,-0.02,-0.00,0
981805,4,981808,0.08,-0.27,9.45,0.02,-0.02,-0.00,0
981818,4,981821,0.10,-0.28,9.43,0.02,-0.02,-0.00,0
981831,3,981834,0.09,-0.29,9.44,0.02,-0.02,-0.00,0
981844,3,981847,0.07,-0.28,9.46,0.02,-0.02,-0.00,0
981857,3,981860,0.10,-0.27,9.39,0.02,-0.02,-0.00,0
981870,3,981873,0.10,-0.25,9.41,0.02,-0.02,-0.00,0
981883,3,981886,0.10,-0.28,9.45,0.02,-0.02,-0.00,0
981896,3,981899,0.09,-0.28,9.45,0.02,-0.02,-0.00,0
981909,3,981912,0.12,-0.30,9.45,0.02,-0.02,-0.00,0
981922,3,981925,0.11,-0.29,9.44,0.02,-0.02,-0.00,0
981935,3,981938,0.10,-0.29,9.45,0.02,-0.02,-0.00,0
981948,3,981951,0.06,-0.27,9.44,0.02,-0.02,-0.00,0
981961,3,981964,0.09,-0.26,9.45,0.02,-0.02,-0.00,0
981974,3,981977,0.12,-0.26,9.42,0.02,-0.02,-0.00,0
