DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
584032,30,584036,1.77,0.67,12.00,0.66,-0.91,-0.51,0
584046,30,584050,1.40,-0.34,12.74,1.04,-0.61,-0.58,0
584060,11,584063,2.57,0.13,11.56,1.42,-0.26,-0.61,0
584073,10,584076,1.96,0.44,8.15,1.46,-0.42,-0.69,0
584086,11,584089,1.36,-0.13,7.20,1.15,-1.07,-0.67,0
584099,11,584102,0.90,0.00,7.36,0.86,-1.37,-0.50,0
584114,9,584117,1.13,-0.25,8.79,0.75,-1.16,-0.15,0
584127,11,584130,1.89,0.18,9.27,0.80,-0.89,0.06,0
584140,30,584144,1.60,0.93,9.02,0.79,-0.72,0.09,0
584154,30,584158,1.57,1.07,9.34,0.74,-0.66,-0.10,0
584168,9,584171,1.90,1.24,9.92,0.76,-0.47,-0.38,0
584181,10,584184,2.24,2.83,11.33,0.88,-0.72,-0.66,0
584194,8,584197,2.27,1.92,9.39,0.93,-1.45,-0.65,0
584207,9,584210,3.11,0.42,7.55,0.65,-0.23,-0.42,0
584220,8,584223,2.65,0.92,8.17,0.28,0.17,-0.33,0
584232,0,585232,-0.49,-0.12,8.44,-0.06,1.24,-0.04,0
585242,3,585245,-0.31,-0.13,7.96,-0.07,1.35,-0.02,0
585255,3,585258,-0.71,-0.12,7.82,-0.07,1.70,0.05,0
585268,3,585271,-1.20,-0.06,7.65,-0.06,1.62,0.06,0
585281,3,585284,-1.94,-0.02,9.28,-0.02,1.70,0.11,0
585294,3,585297,-2.72,-0.25,11.98,0.20,1.42,0.11,0
585307,4,585310,-3.00,0.02,11.48,0.27,0.65,0.10,0
585320,4,585323,-2.11,0.02,9.39,0.05,0.56,-0.02,0
585333,3,585336,-2.38,-0.08,8.48,-0.16,0.34,-0.18,0
585346,3,585349,-2.73,-0.15,8.63,-0.11,0.17,-0.17,0
585359,4,585362,-2.57,-0.19,8.66,0.03,-0.11,-0.15,0
585372,4,585375,-2.76,-0.38,8.44,0.12,-0.25,-0.16,0
585385,3,585388,-2.24,-0.08,9.09,0.09,-0.23,-0.24,0
585397,0,586398,-1.96,-0.16,9.07,-0.00,-0.09,-0.00,0
586408,4,586411,-2.10,-0.25,9.02,0.02,-0.11,0.03,0
586421,4,586424,-2.07,-0.21,8.95,0.06,-0.13,0.05,0
586434,4,586437,-1.84,-0.15,9.13,0.05,-0.18,0.06,0
586447,4,586450,-2.02,-0.17,9.34,0.04,-0.13,0.06,0
586460,4,586463,-1.97,-0.17,9.35,0.04,-0.08,0.05,0
586473,3,586476,-1.95,-0.10,9.29,0.03,-0.03,0.04,0
586486,3,586489,-1.86,-0.09,9.29,0.03,0.01,0.03,0
586499,3,586502,-1.66,0.00,9.30,0.03,0.06,0.02,0
586512,3,586515,-1.69,-0.01,9.26,0.04,0.08,0.01,0
586525,3,586528,-1.70,-0.10,9.02,0.04,0.05,0.00,0
586538,3,586541,-1.95,-0.10,8.97,0.03,-0.05,0.01,0
586551,3,586554,-2.16,-0.15,9.04,0.03,-0.09,0.02,0
586564,3,586567,-2.08,-0.14,9.22,0.04,-0.09,0.03,0
586577,3,586580,-1.93,-0.09,9.29,0.03,-0.09,0.03,0
586590,3,586593,-1.90,-0.16,9.24,0.01,-0.11,0.03,0
586603,4,586606,-1.80,-0.17,9.15,0.01,-0.09,0.03,0
586616,4,586619,-1.76,-0.12,9.27,0.03,-0.04,0.04,0
586629,4,586632,-1.78,-0.06,9.31,0.04,0.04,0.04,0
586642,4,586645,-1.82,-0.04,9.36,0.05,0.10,0.05,0
586655,4,586658,-1.83,-0.04,9.38,0.07,0.20,0.04,0
586668,4,586671,-1.84,-0.04,9.30,0.08,0.25,0.04,0
586681,4,586684,-1.98,-0.07,9.03,0.07,0.21,0.04,0
586693,0,587693,-2.28,0.00,9.16,0.03,-0.01,0.01,0
587704,5,587707,-2.18,0.05,9.20,0.03,0.02,-0.00,0
587717,5,587720,-2.16,0.09,9.17,0.03,0.08,-0.01,0
587730,5,587733,-2.17,0.08,9.10,0.03,0.11,-0.01,0
587743,4,587746,-2.30,0.04,9.12,0.04,0.10,-0.00,0
587756,4,587759,-2.21,-0.04,9.00,0.03,0.04,0.00,0
587769,4,587772,-2.35,-0.05,8.98,0.02,0.04,-0.00,0
587782,4,587785,-2.35,-0.11,9.02,0.02,0.01,-0.01,0
587795,4,587798,-2.26,-0.06,9.09,0.02,-0.06,-0.01,0
587808,4,587811,-2.19,0.01,9.08,0.02,-0.11,-0.01,0
587821,4,587824,-2.18,0.00,9.09,0.02,-0.12,-0.01,0
587834,4,587837,-2.24,0.02,9.14,0.02,-0.10,-0.01,0
587847,4,587850,-2.24,0.02,9.09,0.02,-0.07,-0.00,0
587860,4,587863,-2.23,-0.04,9.04,0.02,-0.08,-0.00,0
587873,4,587876,-2.24,-0.07,9.11,0.02,-0.09,-0.01,0
587886,4,587889,-2.17,0.03,9.18,0.03,-0.08,-0.01,0
587899,4,587902,-2.20,0.07,9.26,0.04,-0.07,-0.01,0
587912,4,587915,-2.20,0.08,9.22,0.03,-0.07,-0.01,0
587925,4,587928,-2.18,0.05,9.10,0.02,-0.07,-0.01,0
587938,4,587941,-2.19,0.02,9.05,0.02,-0.05,-0.01,0
587951,4,587954,-2.24,-0.04,9.05,0.02,-0.02,-0.01,0
587964,4,587967,-2.24,-0.04,9.05,0.03,-0.04,-0.01,0
587977,4,587980,-2.14,0.00,9.12,0.02,-0.06,-0.02,0
587989,4,587992,-2.13,-0.00,9.19,0.02,-0.04,-0.01,0
588002,4,588005,-2.13,0.06,9.18,0.03,-0.01,-0.00,0
588014,4,588017,-2.14,0.03,9.12,0.03,-0.01,-0.00,0
588027,3,588030,-2.21,0.00,9.06,0.03,-0.02,-0.00,0
588040,3,588043,-2.26,-0.02,9.01,0.02,-0.06,-0.01,0
588053,3,588056,-2.21,0.01,9.06,0.03,-0.07,-0.01,0
588066,3,588069,-2.18,0.01,9.12,0.03,-0.09,-0.00,0
588079,3,588082,-2.18,0.01,9.16,0.02,-0.10,-0.00,0
588092,3,588095,-2.18,0.02,9.11,0.01,-0.13,-0.01,0
588105,4,588108,-2.11,0.04,9.14,0.01,-0.15,-0.01,0
588119,4,588122,-2.13,0.05,9.17,0.01,-0.15,-0.00,0
588130,10,588133,-2.10,0.00,9.22,0.02,-0.11,-0.00,0
588142,0,589142,-2.03,0.03,9.05,0.02,-0.02,-0.01,0
589154,2,589156,-2.14,0.03,9.09,0.03,-0.04,-0.00,0
589165,6,589168,-2.27,-0.02,9.11,0.03,-0.02,0.01,0
589176,0,590176,-2.03,0.05,9.13,0.01,-0.07,-0.01,0
590186,0,591186,-1.89,0.07,9.18,0.02,-0.03,-0.00,0
591196,0,592196,-1.82,0.03,9.20,0.02,0.00,-0.01,0
592206,3,592208,-1.91,0.00,9.14,0.02,0.01,-0.00,0
592216,3,592219,-2.05,-0.03,9.14,0.03,0.03,0.00,0
592228,0,593228,-1.93,0.02,9.12,0.02,-0.03,0.00,0
593236,3,593239,-2.03,-0.04,9.15,0.02,-0.05,-0.00,0
593248,3,593250,-2.05,-0.08,9.14,0.02,-0.05,-0.00,0
593261,0,594261,-2.01,0.05,9.17,0.02,-0.03,0.00,0
594269,5,594272,-1.99,0.07,9.20,0.02,0.00,0.00,0
594280,3,594283,-1.94,0.05,9.17,0.02,0.02,0.00,0
